"Id","Response"
1,4
3,5
4,4
9,5
12,5
13,5
21,6
28,5
30,4
36,4
38,5
43,5
45,3
48,6
50,4
51,4
54,4
55,6
59,6
62,3
63,6
66,5
69,6
82,7
83,4
84,5
86,5
89,5
90,4
92,5
98,3
100,4
105,4
115,6
119,4
124,3
127,5
133,5
140,4
141,6
143,3
151,3
154,5
157,5
163,3
166,3
168,6
170,5
173,4
180,5
182,6
184,4
185,4
195,5
196,5
197,5
212,4
213,6
219,6
225,4
227,4
232,4
239,4
247,4
251,4
254,4
261,4
264,5
267,5
272,6
275,6
277,4
283,3
284,3
287,5
291,7
293,5
294,4
305,4
307,4
309,5
311,4
322,3
323,4
326,4
330,3
335,5
337,6
338,4
341,2
346,4
348,4
352,3
356,5
358,3
366,5
369,3
373,4
375,4
381,4
384,6
386,4
396,5
397,3
399,5
405,6
412,6
417,3
421,3
425,5
427,5
430,4
432,4
433,5
436,6
438,5
441,6
442,4
444,4
446,5
448,2
450,5
454,5
465,6
470,4
472,3
475,6
484,5
495,5
497,5
498,5
501,4
502,4
505,6
515,3
516,5
527,6
529,3
531,5
533,4
537,4
541,5
546,6
548,4
549,4
550,4
553,5
559,5
561,4
564,2
574,4
578,6
579,4
580,5
582,4
584,6
588,5
596,4
602,4
603,3
613,3
614,4
619,5
620,5
624,5
625,3
628,4
630,5
635,6
636,4
637,5
641,6
644,6
648,7
654,6
658,4
664,6
666,5
667,6
670,6
672,5
674,6
676,6
684,7
685,4
693,3
694,5
700,4
702,5
703,4
705,4
711,5
718,4
722,5
726,5
727,3
732,6
735,5
740,4
748,6
750,5
751,5
756,5
762,5
766,6
770,6
771,5
779,5
782,3
784,6
793,5
798,4
800,4
801,5
805,5
807,4
813,5
819,6
820,5
822,5
823,3
833,6
834,4
842,3
845,5
856,4
860,5
864,4
869,4
872,4
877,4
878,6
893,6
894,5
896,5
899,3
900,6
911,1
914,5
917,2
919,5
923,2
925,5
926,4
934,5
938,5
940,5
955,5
956,5
971,5
973,6
978,5
979,6
981,6
988,5
990,6
992,3
996,6
997,3
999,4
1000,6
1006,6
1009,3
1018,4
1025,4
1038,6
1042,5
1045,4
1046,7
1047,3
1050,4
1052,5
1054,5
1057,5
1061,4
1069,4
1071,5
1073,5
1074,6
1075,4
1083,5
1084,2
1089,3
1099,4
1103,4
1110,3
1123,5
1130,5
1135,5
1137,7
1145,5
1147,3
1152,6
1153,3
1154,6
1158,5
1166,5
1170,4
1172,4
1178,5
1179,4
1181,4
1182,5
1183,6
1191,4
1192,3
1200,4
1205,4
1207,5
1208,3
1209,3
1217,3
1223,4
1225,5
1226,4
1228,3
1230,3
1232,6
1235,5
1237,5
1257,5
1266,3
1267,5
1274,5
1277,5
1278,4
1280,6
1282,6
1293,5
1294,4
1305,5
1306,5
1311,5
1318,4
1320,5
1323,6
1325,3
1328,4
1336,4
1340,5
1341,6
1344,5
1345,5
1348,4
1358,2
1361,5
1364,4
1373,4
1377,4
1378,6
1380,5
1382,4
1383,4
1386,6
1387,2
1390,4
1395,6
1398,5
1402,4
1403,6
1405,4
1407,5
1410,3
1412,3
1419,4
1426,5
1428,5
1436,4
1437,3
1438,4
1441,5
1444,4
1448,3
1454,4
1457,4
1459,6
1463,5
1467,4
1471,4
1475,4
1476,4
1480,5
1481,4
1482,4
1489,4
1491,6
1494,5
1496,3
1500,6
1501,6
1503,3
1504,3
1505,5
1515,3
1517,5
1520,4
1521,4
1523,5
1526,6
1529,4
1530,4
1543,4
1544,7
1547,4
1550,6
1552,4
1554,5
1563,5
1574,5
1575,4
1576,5
1579,2
1582,4
1584,6
1585,5
1589,5
1596,4
1598,2
1611,5
1613,5
1615,3
1618,4
1627,5
1630,4
1638,5
1639,5
1640,6
1642,5
1645,5
1648,5
1654,5
1661,5
1662,5
1663,6
1666,4
1668,3
1670,3
1672,5
1681,5
1682,5
1683,2
1687,6
1688,6
1693,5
1694,6
1700,6
1704,5
1712,5
1716,6
1717,5
1722,4
1724,5
1738,2
1739,2
1740,3
1761,6
1763,6
1765,5
1766,3
1767,6
1771,4
1772,5
1777,6
1784,4
1799,4
1806,5
1810,2
1812,4
1814,4
1818,5
1819,6
1822,4
1823,6
1824,3
1834,4
1835,6
1844,4
1848,4
1849,6
1850,5
1851,3
1856,4
1862,2
1863,4
1872,4
1874,3
1875,6
1877,6
1900,5
1902,4
1904,4
1905,3
1908,6
1914,6
1916,3
1922,3
1933,5
1934,4
1939,5
1942,4
1947,6
1957,5
1971,6
1973,4
1974,5
1977,5
1981,5
1985,4
1987,5
1989,5
2001,3
2002,3
2007,2
2008,6
2011,4
2021,4
2034,5
2040,5
2044,4
2045,6
2048,6
2051,6
2062,6
2066,3
2068,5
2069,4
2074,5
2075,5
2078,5
2079,1
2080,3
2081,4
2084,2
2085,6
2087,6
2096,4
2102,4
2103,6
2107,6
2117,4
2118,4
2120,4
2121,4
2122,3
2130,4
2136,3
2138,6
2140,6
2143,5
2144,3
2145,4
2147,6
2150,4
2154,5
2155,2
2166,4
2169,4
2173,4
2176,3
2178,5
2179,4
2180,4
2184,6
2185,6
2188,4
2190,5
2194,5
2195,4
2198,4
2205,7
2206,6
2207,3
2212,3
2213,5
2216,6
2218,3
2224,5
2225,6
2228,5
2236,5
2242,7
2246,3
2250,6
2255,5
2256,2
2267,4
2268,5
2269,5
2272,5
2275,3
2280,6
2282,5
2287,5
2289,6
2293,5
2296,5
2307,4
2309,4
2313,4
2325,5
2327,6
2336,3
2339,4
2342,5
2347,6
2350,6
2360,5
2364,5
2369,2
2379,4
2394,3
2395,3
2399,5
2402,5
2410,6
2416,5
2420,3
2427,5
2434,5
2435,5
2441,6
2447,4
2452,5
2463,4
2467,3
2468,6
2470,5
2476,5
2483,2
2487,3
2492,6
2502,5
2504,4
2510,6
2511,2
2512,6
2517,5
2520,7
2521,5
2523,5
2524,5
2525,4
2526,4
2528,6
2530,3
2532,3
2536,4
2540,5
2541,5
2543,5
2549,5
2550,2
2556,3
2557,5
2559,5
2565,5
2566,5
2567,3
2568,4
2570,6
2573,7
2577,5
2578,5
2583,3
2586,4
2587,3
2588,5
2591,6
2597,6
2606,5
2607,7
2608,6
2611,2
2612,5
2613,6
2616,6
2621,6
2622,5
2634,7
2639,5
2642,3
2644,4
2650,3
2655,6
2664,5
2667,4
2670,4
2679,3
2681,4
2683,6
2685,5
2687,6
2696,3
2699,5
2712,3
2716,6
2720,5
2725,5
2726,5
2731,4
2733,5
2740,6
2742,4
2748,4
2749,5
2763,5
2771,6
2772,4
2773,4
2783,6
2784,6
2789,3
2796,3
2798,4
2799,5
2800,5
2802,5
2805,4
2809,4
2816,6
2817,5
2821,4
2822,4
2829,5
2832,4
2842,4
2844,6
2846,4
2851,4
2852,4
2853,5
2856,5
2862,3
2866,4
2868,4
2886,5
2892,5
2893,5
2898,5
2917,3
2923,4
2927,5
2930,6
2931,3
2935,6
2936,4
2961,3
2964,6
2967,5
2968,6
2970,5
2977,4
2978,5
2979,6
2985,4
2986,3
2989,4
2997,4
2999,7
3004,5
3008,5
3010,4
3020,6
3022,6
3024,5
3027,6
3032,5
3033,6
3048,3
3053,4
3056,5
3070,6
3071,2
3073,6
3080,5
3098,5
3099,3
3109,5
3110,5
3115,2
3121,4
3128,5
3132,3
3133,3
3141,6
3144,4
3145,4
3154,5
3159,5
3164,3
3168,3
3172,3
3176,4
3186,4
3193,5
3196,5
3199,3
3200,5
3209,3
3210,7
3214,5
3229,4
3230,5
3233,6
3242,3
3244,2
3249,4
3251,4
3253,3
3264,4
3271,3
3272,7
3274,5
3276,3
3280,4
3282,4
3285,6
3297,5
3298,5
3307,4
3309,6
3310,5
3312,4
3314,5
3315,4
3316,5
3319,4
3322,6
3327,6
3332,4
3334,6
3336,1
3338,5
3340,4
3343,3
3352,6
3353,5
3356,6
3357,5
3360,4
3365,6
3366,5
3367,5
3369,6
3374,3
3376,5
3381,5
3385,4
3386,5
3397,6
3403,4
3409,3
3414,5
3415,4
3423,5
3427,5
3428,5
3439,4
3441,5
3442,3
3447,5
3453,5
3456,3
3458,4
3459,5
3462,5
3464,6
3477,6
3480,4
3483,6
3490,5
3497,5
3498,5
3500,4
3504,4
3509,3
3510,6
3511,5
3525,3
3528,5
3529,3
3531,3
3532,5
3536,5
3537,3
3538,5
3547,4
3557,5
