"Id","Response"
1,1
3,6
4,8
9,7
12,8
13,8
21,8
28,8
30,7
36,8
38,8
43,8
45,4
48,8
50,6
51,8
54,7
55,8
59,6
62,2
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,8
92,8
98,7
100,4
105,5
115,8
119,3
124,4
127,8
133,8
140,5
141,8
143,6
151,5
154,8
157,8
163,1
166,3
168,8
170,6
173,8
180,8
182,8
184,1
185,6
195,8
196,6
197,6
212,5
213,8
219,8
225,1
227,5
232,8
239,6
247,2
251,5
254,6
261,7
264,6
267,8
272,8
275,8
277,8
283,8
284,1
287,6
291,8
293,6
294,6
305,8
307,7
309,8
311,5
322,4
323,4
326,5
330,3
335,8
337,8
338,5
341,1
346,7
348,8
352,4
356,8
358,1
366,7
369,6
373,6
375,6
381,6
384,8
386,6
396,6
397,8
399,7
405,8
412,8
417,2
421,6
425,8
427,8
430,6
432,6
433,8
436,8
438,8
441,8
442,6
444,5
446,8
448,8
450,7
454,7
465,8
470,7
472,5
475,6
484,8
495,8
497,8
498,8
501,5
502,6
505,8
515,1
516,6
527,8
529,5
531,6
533,6
537,4
541,7
546,8
548,8
549,8
550,7
553,8
559,8
561,7
564,6
574,5
578,6
579,6
580,8
582,6
584,8
588,6
596,6
602,6
603,5
613,6
614,3
619,8
620,6
624,5
625,8
628,8
630,7
635,8
636,1
637,8
641,8
644,8
648,8
654,8
658,6
664,8
666,8
667,8
670,8
672,6
674,8
676,8
684,8
685,6
693,1
694,8
700,4
702,8
703,1
705,6
711,8
718,1
722,7
726,8
727,6
732,8
735,8
740,6
748,8
750,8
751,8
756,7
762,7
766,8
770,8
771,8
779,6
782,5
784,8
793,7
798,6
800,6
801,8
805,7
807,8
813,8
819,8
820,8
822,8
823,7
833,8
834,6
842,4
845,8
856,8
860,5
864,8
869,6
872,8
877,6
878,8
893,6
894,8
896,6
899,8
900,8
911,8
914,8
917,1
919,8
923,8
925,7
926,8
934,7
938,8
940,8
955,8
956,7
971,7
973,8
978,8
979,8
981,6
988,8
990,7
992,5
996,8
997,6
999,6
1000,8
1006,6
1009,4
1018,6
1025,6
1038,8
1042,8
1045,6
1046,8
1047,6
1050,6
1052,7
1054,8
1057,7
1061,4
1069,6
1071,7
1073,6
1074,8
1075,6
1083,7
1084,1
1089,8
1099,5
1103,2
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,6
1154,8
1158,8
1166,8
1170,8
1172,7
1178,8
1179,8
1181,3
1182,7
1183,8
1191,8
1192,2
1200,4
1205,7
1207,8
1208,3
1209,1
1217,5
1223,8
1225,8
1226,8
1228,6
1230,6
1232,8
1235,8
1237,7
1257,7
1266,2
1267,8
1274,8
1277,8
1278,8
1280,8
1282,8
1293,6
1294,4
1305,8
1306,6
1311,7
1318,6
1320,8
1323,8
1325,8
1328,6
1336,5
1340,6
1341,8
1344,8
1345,7
1348,4
1358,1
1361,8
1364,6
1373,8
1377,6
1378,8
1380,8
1382,8
1383,5
1386,8
1387,2
1390,6
1395,8
1398,6
1402,6
1403,8
1405,7
1407,8
1410,1
1412,8
1419,8
1426,8
1428,8
1436,8
1437,6
1438,6
1441,8
1444,1
1448,1
1454,5
1457,5
1459,8
1463,8
1467,4
1471,7
1475,5
1476,6
1480,7
1481,3
1482,8
1489,7
1491,8
1494,8
1496,8
1500,8
1501,8
1503,8
1504,5
1505,4
1515,5
1517,6
1520,5
1521,4
1523,8
1526,8
1529,6
1530,6
1543,6
1544,8
1547,8
1550,8
1552,7
1554,7
1563,8
1574,8
1575,5
1576,7
1579,8
1582,6
1584,8
1585,8
1589,7
1596,8
1598,2
1611,8
1613,2
1615,6
1618,1
1627,7
1630,3
1638,8
1639,6
1640,8
1642,8
1645,6
1648,6
1654,6
1661,8
1662,8
1663,8
1666,6
1668,5
1670,1
1672,7
1681,8
1682,8
1683,8
1687,8
1688,8
1693,6
1694,8
1700,8
1704,6
1712,8
1716,8
1717,6
1722,7
1724,6
1738,6
1739,3
1740,8
1761,8
1763,5
1765,8
1766,8
1767,8
1771,6
1772,8
1777,8
1784,1
1799,8
1806,8
1810,2
1812,8
1814,3
1818,8
1819,7
1822,5
1823,8
1824,6
1834,5
1835,8
1844,7
1848,6
1849,8
1850,6
1851,8
1856,6
1862,2
1863,6
1872,7
1874,7
1875,8
1877,8
1900,8
1902,8
1904,8
1905,6
1908,8
1914,8
1916,3
1922,7
1933,7
1934,8
1939,6
1942,8
1947,8
1957,8
1971,8
1973,8
1974,6
1977,7
1981,6
1985,8
1987,8
1989,8
2001,5
2002,3
2007,1
2008,8
2011,8
2021,7
2034,8
2040,8
2044,4
2045,8
2048,8
2051,8
2062,8
2066,4
2068,8
2069,6
2074,8
2075,8
2078,8
2079,2
2080,7
2081,6
2084,8
2085,8
2087,8
2096,6
2102,6
2103,8
2107,8
2117,6
2118,1
2120,8
2121,5
2122,6
2130,8
2136,6
2138,8
2140,7
2143,7
2144,7
2145,6
2147,8
2150,3
2154,8
2155,6
2166,7
2169,6
2173,8
2176,6
2178,8
2179,6
2180,8
2184,8
2185,8
2188,6
2190,8
2194,8
2195,8
2198,5
2205,8
2206,8
2207,6
2212,7
2213,8
2216,8
2218,2
2224,8
2225,8
2228,8
2236,1
2242,8
2246,6
2250,8
2255,8
2256,1
2267,6
2268,7
2269,8
2272,6
2275,6
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,7
2309,8
2313,6
2325,7
2327,8
2336,2
2339,6
2342,8
2347,8
2350,4
2360,6
2364,8
2369,2
2379,8
2394,6
2395,6
2399,8
2402,6
2410,8
2416,6
2420,8
2427,6
2434,8
2435,8
2441,8
2447,6
2452,6
2463,7
2467,8
2468,8
2470,8
2476,6
2483,1
2487,8
2492,8
2502,8
2504,8
2510,8
2511,5
2512,8
2517,8
2520,8
2521,8
2523,7
2524,8
2525,6
2526,7
2528,8
2530,5
2532,6
2536,5
2540,7
2541,8
2543,8
2549,8
2550,3
2556,5
2557,7
2559,8
2565,8
2566,8
2567,3
2568,8
2570,8
2573,8
2577,8
2578,8
2583,6
2586,7
2587,5
2588,8
2591,8
2597,7
2606,8
2607,8
2608,8
2611,1
2612,7
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,1
2644,7
2650,4
2655,8
2664,8
2667,6
2670,7
2679,3
2681,8
2683,7
2685,8
2687,8
2696,5
2699,8
2712,2
2716,8
2720,8
2725,6
2726,8
2731,6
2733,5
2740,8
2742,8
2748,6
2749,8
2763,8
2771,8
2772,5
2773,5
2783,8
2784,8
2789,1
2796,6
2798,5
2799,8
2800,6
2802,8
2805,8
2809,6
2816,8
2817,8
2821,6
2822,8
2829,7
2832,6
2842,7
2844,8
2846,6
2851,6
2852,5
2853,8
2856,7
2862,8
2866,7
2868,6
2886,8
2892,6
2893,4
2898,8
2917,5
2923,4
2927,6
2930,8
2931,3
2935,8
2936,6
2961,6
2964,8
2967,8
2968,8
2970,8
2977,5
2978,8
2979,8
2985,1
2986,3
2989,6
2997,4
2999,8
3004,8
3008,8
3010,7
3020,8
3022,8
3024,6
3027,8
3032,8
3033,8
3048,5
3053,8
3056,8
3070,8
3071,6
3073,7
3080,8
3098,8
3099,6
3109,8
3110,8
3115,8
3121,8
3128,8
3132,4
3133,3
3141,8
3144,6
3145,5
3154,6
3159,8
3164,8
3168,6
3172,6
3176,8
3186,8
3193,7
3196,8
3199,6
3200,8
3209,8
3210,6
3214,7
3229,8
3230,7
3233,8
3242,5
3244,1
3249,8
3251,4
3253,3
3264,6
3271,6
3272,8
3274,8
3276,1
3280,5
3282,6
3285,8
3297,8
3298,8
3307,6
3309,8
3310,8
3312,1
3314,8
3315,8
3316,7
3319,5
3322,8
3327,8
3332,7
3334,8
3336,2
3338,7
3340,7
3343,5
3352,8
3353,8
3356,8
3357,8
3360,8
3365,8
3366,8
3367,8
3369,8
3374,5
3376,6
3381,8
3385,8
3386,8
3397,8
3403,5
3409,5
3414,8
3415,8
3423,8
3427,8
3428,8
3439,8
3441,8
3442,1
3447,8
3453,8
3456,6
3458,5
3459,8
3462,8
3464,8
3477,8
3480,6
3483,8
3490,6
3497,7
3498,8
3500,5
3504,5
3509,8
3510,8
3511,8
3525,5
3528,6
3529,1
3531,5
3532,8
3536,8
3537,5
3538,6
3547,6
3557,6
3572,8
3573,7
3588,8
3590,7
3597,8
3601,8
3602,8
3608,8
3611,5
3616,8
3619,7
3623,7
3638,8
3641,6
3643,8
3647,4
3648,7
3662,5
3663,8
3665,7
3679,8
3683,8
3692,6
3700,8
3705,7
3706,8
3711,8
3712,8
3716,8
3725,1
3727,8
3739,8
3740,2
3743,6
3744,1
3750,8
3751,8
3752,1
3753,6
3754,1
3761,8
3762,8
3764,2
3773,8
3774,5
3775,7
3776,8
3785,6
3788,8
3791,6
3792,8
3794,8
3797,7
3798,8
3807,5
3808,8
3810,7
3813,7
3815,8
3818,8
3820,4
3824,8
3832,8
3836,8
3837,6
3849,6
3853,7
3861,5
3862,6
3863,6
3867,2
3868,7
3871,8
3873,6
3874,6
3879,8
3881,7
3883,8
3887,6
3888,6
3889,5
3898,2
3901,8
3904,1
3905,5
3907,6
3911,4
3915,8
3917,7
3923,8
3925,5
3931,6
3934,8
3943,7
3946,6
3947,6
3949,6
3958,8
3959,8
3960,6
3969,8
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,8
3995,7
3997,6
4002,8
4003,8
4006,8
4010,8
4011,8
4012,8
4019,8
4020,4
4026,6
4030,3
4033,6
4034,8
4038,2
4045,8
4046,8
4047,1
4048,8
4055,8
4061,8
4063,1
4066,8
4069,8
4076,8
4081,8
4086,8
4087,8
4094,8
4096,4
4105,6
4107,8
4110,7
4115,6
4128,4
4131,8
4136,2
4140,5
4141,6
4142,8
4146,6
4156,6
4159,8
4171,8
4174,2
4175,8
4180,8
4187,8
4191,5
4193,8
4197,8
4201,8
4203,6
4205,5
4206,4
4209,8
4213,8
4215,8
4220,8
4223,8
4225,7
4234,2
4241,6
4244,8
4247,6
4254,8
4255,3
4262,8
4263,8
4266,4
4269,8
4270,1
4271,6
4274,7
4279,6
4286,1
4287,6
4288,8
4290,5
4294,8
4296,8
4299,7
4302,8
4316,8
4320,6
4321,5
4324,6
4325,8
4326,8
4332,8
4334,8
4343,8
4348,8
4350,7
4353,6
4356,8
4361,7
4367,6
4369,8
4371,6
4373,6
4374,2
4376,8
4393,5
4394,6
4397,1
4398,6
4404,8
4410,7
4411,8
4412,6
4414,7
4415,8
4418,6
4420,8
4426,6
4427,8
4430,1
4431,5
4435,8
4437,6
4438,8
4458,7
4461,6
4462,5
4464,6
4482,8
4484,6
4489,4
4494,8
4496,8
4503,8
4508,1
4515,8
4516,8
4517,8
4518,8
4524,5
4525,3
4527,8
4529,8
4535,5
4538,1
4544,6
4545,6
4550,6
4551,7
4554,8
4563,8
4565,8
4573,8
4576,8
4578,8
4587,7
4590,8
4597,6
4600,8
4608,8
4612,6
4615,8
4616,8
4618,8
4620,6
4622,8
4624,6
4628,6
4631,8
4633,8
4646,6
4648,1
4655,8
4669,8
4673,6
4677,8
4680,8
4683,1
4691,1
4694,8
4697,8
4698,6
4704,8
4711,7
4713,8
4716,5
4724,6
4727,8
4730,8
4731,7
4732,6
4741,3
4742,8
4743,8
4753,8
4758,8
4762,2
4765,5
4782,2
4787,8
4788,8
4789,1
4790,8
4792,8
4797,6
4805,6
4806,8
4809,6
4814,8
4823,8
4825,8
4830,6
4832,8
4833,6
4840,6
4841,7
4844,8
4845,8
4849,5
4858,6
4870,7
4875,7
4877,8
4882,5
4891,7
4900,1
4905,8
4907,5
4908,8
4923,8
4924,8
4925,8
4927,8
4933,8
4935,8
4941,2
4944,8
4946,8
4953,8
4956,8
4968,6
4985,6
4989,8
4995,1
5005,6
5010,2
5016,8
5018,8
5029,4
5031,7
5037,8
5039,8
5041,6
5043,6
5052,8
5055,7
5059,8
5063,8
5067,8
5070,6
5072,7
5073,7
5079,8
5086,8
5093,6
5094,2
5098,8
5101,8
5108,5
5112,8
5113,8
5119,8
5120,6
5121,8
5126,8
5127,8
5128,8
5131,4
5137,4
5146,8
5148,6
5150,7
5159,8
5160,8
5163,8
5170,8
5177,6
5179,8
5185,7
5188,8
5190,7
5191,8
5192,8
5195,6
5198,7
5208,5
5214,8
5215,8
5219,4
5220,8
5223,6
5224,2
5225,8
5227,6
5229,8
5231,1
5236,8
5237,7
5238,6
5240,6
5248,8
5252,8
5256,8
5269,8
5270,5
5272,8
5275,8
5276,8
5279,8
5280,2
5281,8
5291,6
5292,6
5294,2
5296,8
5302,6
5307,8
5312,8
5313,6
5314,8
5315,6
5316,8
5317,8
5318,6
5321,7
5322,8
5323,5
5324,8
5334,6
5343,3
5344,5
5345,7
5355,2
5364,6
5369,8
5371,8
5380,8
5385,2
5392,6
5395,8
5396,8
5398,8
5400,6
5402,8
5411,8
5412,8
5414,8
5417,5
5424,8
5427,8
5428,5
5430,6
5432,6
5438,4
5448,6
5459,3
5460,7
5461,7
5463,5
5477,6
5479,8
5481,8
5482,6
5491,6
5493,8
5506,6
5507,5
5517,8
5532,8
5533,7
5534,8
5541,8
5542,5
5548,3
5551,5
5553,2
5554,8
5565,7
5574,8
5575,8
5576,1
5583,6
5584,2
5586,2
5587,6
5588,8
5596,8
5597,8
5601,7
5603,8
5613,6
5614,8
5618,8
5619,8
5621,8
5622,8
5627,8
5628,6
5630,8
5633,1
5639,4
5643,7
5649,8
5653,7
5655,7
5664,2
5667,5
5670,8
5674,2
5678,8
5680,6
5687,6
5692,8
5694,6
5697,8
5701,4
5704,8
5710,8
5711,6
5716,2
5724,8
5725,4
5726,5
5727,8
5731,7
5749,5
5751,8
5755,6
5756,6
5761,8
5767,6
5768,5
5770,8
5772,3
5773,6
5775,8
5776,8
5784,2
5792,1
5793,7
5794,8
5797,7
5799,1
5800,8
5805,8
5809,8
5813,4
5817,8
5824,7
5829,6
5832,2
5835,6
5837,6
5847,8
5854,7
5857,6
5860,8
5872,6
5874,8
5876,6
5880,8
5882,6
5891,6
5892,6
5906,8
5922,8
5923,6
5927,6
5929,8
5941,6
5942,4
5945,8
5947,5
5950,8
5951,8
5952,6
5960,8
5965,6
5967,7
5974,8
5977,2
5984,2
5987,8
5991,6
5996,6
5997,8
6002,2
6005,6
6008,8
6009,5
6014,6
6027,8
6030,8
6033,8
6034,5
6035,8
6043,8
6046,8
6047,6
6048,8
6070,8
6071,6
6085,1
6090,8
6091,8
6092,8
6098,8
6106,8
6108,8
6111,2
6115,8
6117,6
6121,1
6124,8
6126,8
6129,7
6131,8
6141,8
6142,4
6143,8
6144,6
6147,6
6148,4
6155,6
6158,1
6159,1
6162,4
6166,8
6172,8
6177,2
6178,8
6181,6
6182,8
6185,7
6191,8
6195,8
6204,7
6205,8
6211,6
6212,8
6219,8
6220,8
6223,8
6226,8
6239,8
6243,8
6249,2
6252,8
6255,5
6260,6
6261,8
6263,5
6264,7
6270,2
6271,8
6272,6
6274,8
6277,2
6280,7
6284,8
6286,4
6288,6
6290,8
6293,6
6299,8
6301,8
6304,6
6306,7
6308,8
6309,6
6312,8
6321,6
6322,6
6331,5
6335,8
6340,7
6343,8
6344,6
6347,6
6348,1
6349,8
6350,8
6354,8
6355,6
6362,6
6367,8
6372,8
6375,8
6379,2
6384,2
6386,8
6390,8
6396,5
6401,8
6403,7
6408,5
6410,8
6420,8
6430,8
6436,7
6440,8
6442,8
6443,8
6444,6
6459,8
6466,8
6469,7
6474,8
6475,6
6476,1
6490,3
6491,1
6496,3
6497,8
6498,6
6499,8
6501,8
6514,2
6515,6
6524,8
6526,6
6532,7
6537,6
6538,1
6541,5
6546,5
6551,1
6554,8
6557,6
6560,8
6565,6
6566,6
6578,5
6582,8
6587,6
6593,7
6596,8
6611,8
6615,6
6620,7
6626,6
6627,8
6628,8
6635,8
6639,7
6641,6
6645,6
6660,8
6663,7
6669,6
6674,8
6682,6
6685,3
6687,8
6692,5
6695,8
6696,2
6699,6
6700,8
6701,8
6705,3
6707,5
6709,8
6711,8
6714,5
6722,6
6723,7
6724,7
6726,7
6733,8
6734,6
6735,8
6736,1
6738,8
6741,8
6746,8
6754,8
6758,6
6763,6
6764,4
6768,8
6778,6
6784,8
6785,6
6787,8
6806,6
6825,6
6830,1
6831,6
6832,6
6833,5
6835,3
6842,8
6843,2
6853,6
6859,5
6860,2
6862,6
6867,1
6868,8
6885,8
6888,5
6889,7
6897,8
6898,1
6900,7
6902,6
6903,6
6907,2
6909,1
6911,1
6925,8
6930,6
6931,6
6933,2
6937,7
6941,8
6948,7
6950,8
6956,8
6957,8
6960,8
6962,5
6969,1
6971,5
6973,5
6980,8
6983,6
6985,6
6999,8
7005,8
7006,8
7007,6
7012,4
7013,6
7016,6
7017,8
7020,8
7024,6
7026,1
7027,5
7029,6
7032,8
7034,8
7044,8
7054,3
7057,8
7058,8
7060,7
7065,6
7069,8
7071,8
7076,1
7077,7
7081,1
7082,6
7093,8
7095,2
7098,8
7099,2
7105,1
7106,7
7122,6
7129,8
7130,8
7135,5
7136,2
7137,1
7138,8
7141,8
7143,8
7159,7
7162,8
7165,8
7169,4
7171,5
7172,7
7175,8
7178,6
7182,6
7190,8
7194,4
7196,7
7205,8
7207,6
7210,8
7211,6
7216,8
7219,5
7222,6
7224,8
7234,6
7237,6
7242,8
7246,8
7247,1
7251,8
7252,5
7257,4
7276,6
7281,8
7286,8
7287,6
7295,6
7297,6
7300,7
7307,8
7308,2
7310,6
7315,3
7317,7
7318,8
7322,6
7325,8
7326,8
7332,8
7342,8
7345,8
7347,6
7349,6
7352,7
7353,1
7354,8
7370,7
7392,8
7394,8
7396,6
7397,6
7400,8
7402,8
7406,8
7409,8
7410,8
7412,8
7414,2
7419,6
7420,8
7421,8
7424,6
7428,1
7431,8
7435,8
7437,8
7445,6
7449,8
7456,8
7458,8
7459,8
7463,1
7464,6
7465,8
7467,8
7471,4
7472,6
7485,6
7494,2
7505,8
7511,8
7512,8
7513,8
7514,8
7515,8
7523,1
7530,7
7531,8
7536,8
7538,8
7542,4
7543,8
7549,5
7557,7
7559,8
7560,8
7563,5
7564,7
7567,8
7572,8
7575,4
7588,6
7595,6
7596,8
7602,8
7609,8
7612,8
7613,6
7621,8
7622,8
7624,8
7625,8
7629,8
7632,8
7634,8
7636,8
7637,1
7638,6
7640,1
7643,8
7648,8
7653,1
7654,8
7662,8
7671,8
7674,8
7682,5
7683,8
7686,7
7690,4
7692,8
7694,4
7695,6
7700,6
7714,4
7715,8
7721,8
7728,8
7737,6
7739,6
7745,1
7747,5
7761,8
7762,8
7763,8
7770,8
7771,6
7774,8
7776,6
7779,7
7793,6
7795,8
7796,8
7800,8
7803,8
7808,6
7811,8
7812,5
7813,5
7814,8
7818,2
7826,8
7827,8
7831,8
7834,8
7837,6
7841,8
7842,8
7843,5
7844,8
7851,8
7854,8
7856,7
7859,8
7866,6
7869,8
7870,6
7872,1
7886,6
7892,8
7893,8
7908,8
7910,8
7914,8
7919,6
7922,8
7930,6
7932,5
7947,1
7949,8
7950,8
7952,6
7953,6
7955,8
7960,6
7961,8
7962,7
7963,8
7967,1
7968,7
7975,6
7977,5
7980,6
7985,6
7987,7
7994,6
7995,8
7999,8
8005,8
8007,8
8009,8
8014,6
8017,6
8018,6
8024,8
8025,4
8026,6
8029,2
8031,8
8035,6
8049,7
8058,1
8060,8
8061,5
8070,7
8071,8
8072,7
8073,8
8075,6
8076,6
8081,6
8082,8
8090,6
8094,8
8097,6
8107,7
8112,5
8115,5
8120,5
8123,7
8128,5
8129,8
8133,8
8138,6
8142,6
8143,6
8145,8
8146,8
8147,5
8151,7
8153,8
8163,2
8167,8
8168,8
8169,7
8172,6
8178,2
8184,8
8185,7
8186,5
8187,7
8191,3
8196,6
8205,8
8206,8
8216,4
8218,7
8219,8
8227,8
8228,8
8230,8
8231,6
8234,8
8241,8
8242,8
8245,8
8246,8
8251,8
8254,6
8262,8
8269,8
8277,8
8286,6
8287,5
8288,6
8289,6
8292,5
8293,6
8294,3
8296,7
8306,8
8307,8
8314,8
8317,2
8320,8
8326,8
8329,8
8330,6
8331,5
8343,6
8350,7
8352,3
8354,6
8355,6
8356,6
8357,1
8364,6
8370,1
8381,5
8382,8
8383,8
8386,8
8389,8
8390,6
8393,7
8399,8
8400,4
8403,5
8404,6
8405,8
8409,6
8413,6
8417,6
8418,5
8423,8
8427,6
8431,8
8432,8
8434,8
8437,8
8447,6
8449,8
8457,6
8459,6
8461,6
8466,6
8467,8
8469,8
8479,5
8481,8
8493,7
8496,7
8501,6
8502,8
8508,8
8509,8
8514,8
8518,6
8519,6
8527,8
8530,6
8537,6
8539,8
8542,6
8547,7
8550,7
8554,8
8556,8
8560,8
8566,6
8569,8
8571,8
8572,6
8575,6
8580,8
8584,8
8585,8
8587,5
8593,6
8595,7
8597,6
8598,8
8599,6
8601,8
8607,4
8612,7
8621,8
8625,6
8630,8
8631,6
8633,7
8644,8
8650,1
8652,8
8656,8
8657,8
8659,8
8660,8
8665,8
8667,2
8668,6
8670,8
8682,8
8690,7
8692,8
8698,6
8702,1
8710,6
8713,8
8714,8
8715,8
8718,8
8719,4
8722,8
8737,6
8738,8
8739,8
8740,7
8745,8
8750,8
8754,2
8757,8
8762,8
8769,8
8773,8
8782,8
8790,6
8804,7
8815,8
8818,6
8819,8
8828,6
8831,7
8838,8
8841,5
8847,8
8849,8
8857,2
8860,6
8861,8
8875,8
8884,6
8889,7
8891,8
8893,8
8894,7
8897,8
8909,8
8928,6
8932,5
8933,5
8934,8
8938,8
8943,6
8946,6
8951,2
8953,5
8959,8
8960,4
8963,5
8968,8
8972,7
8973,8
8977,3
8978,7
8980,8
8984,2
8987,8
8989,8
8995,8
8996,8
9001,3
9003,1
9005,6
9007,8
9009,7
9012,8
9015,8
9024,6
9031,6
9032,6
9035,8
9053,8
9060,6
9067,8
9068,8
9077,6
9080,8
9084,8
9087,6
9090,6
9095,8
9098,5
9101,8
9108,6
9112,1
9113,7
9117,7
9123,8
9124,8
9127,7
9130,6
9132,7
9136,8
9138,8
9142,8
9143,6
9145,8
9146,7
9148,8
9151,3
9154,8
9158,8
9163,5
9169,5
9171,8
9176,8
9181,8
9185,8
9187,8
9188,8
9190,8
9204,8
9205,8
9207,5
9213,8
9220,8
9221,7
9224,5
9225,8
9227,8
9232,8
9234,8
9237,8
9238,8
9240,6
9248,6
9253,8
9254,7
9257,6
9264,4
9267,8
9269,8
9271,8
9272,6
9276,8
9278,6
9280,8
9281,8
9286,1
9288,8
9290,8
9291,8
9293,5
9294,8
9295,8
9298,8
9303,2
9304,8
9307,8
9309,7
9314,4
9315,6
9317,8
9318,7
9319,7
9320,8
9326,8
9331,3
9339,6
9342,6
9349,3
9353,3
9359,8
9362,4
9366,8
9376,5
9384,6
9386,8
9390,5
9396,8
9399,8
9402,6
9415,6
9420,1
9421,8
9422,6
9425,6
9428,8
9440,8
9441,6
9443,5
9451,8
9456,1
9457,1
9459,7
9465,6
9475,8
9483,2
9485,8
9488,8
9492,4
9494,1
9495,8
9498,4
9502,6
9506,6
9509,8
9512,8
9516,8
9520,8
9524,6
9531,1
9532,8
9538,8
9547,8
9549,8
9550,2
9552,8
9555,8
9563,8
9565,8
9574,6
9586,3
9587,8
9593,8
9594,6
9597,8
9600,1
9603,8
9607,8
9608,8
9609,6
9610,8
9612,8
9613,6
9618,1
9619,8
9621,8
9625,6
9638,8
9644,8
9650,6
9652,1
9654,8
9660,8
9665,7
9666,6
9668,1
9672,8
