Id,Response
1,2
3,6
4,7
9,7
12,7
13,8
21,6
28,8
30,6
36,7
38,8
43,7
45,3
48,8
50,4
51,8
54,6
55,6
59,7
62,3
63,7
66,7
69,8
82,8
83,7
84,7
86,8
89,8
90,5
92,7
98,7
100,3
105,5
115,7
119,3
124,4
127,8
133,7
140,5
141,8
143,3
151,4
154,7
157,7
163,6
166,3
168,8
170,4
173,8
180,6
182,7
184,4
185,7
195,8
196,6
197,6
212,5
213,7
219,8
225,3
227,5
232,4
239,6
247,5
251,5
254,5
261,7
264,6
267,7
272,7
275,8
277,4
283,7
284,3
287,6
291,8
293,5
294,5
305,7
307,5
309,7
311,5
322,3
323,5
326,6
330,3
335,7
337,7
338,6
341,2
346,6
348,6
352,4
356,8
358,3
366,7
369,5
373,6
375,3
381,6
384,8
386,5
396,7
397,3
399,7
405,8
412,7
417,2
421,6
425,7
427,7
430,4
432,6
433,7
436,8
438,7
441,8
442,6
444,5
446,7
448,5
450,7
454,7
465,8
470,6
472,4
475,7
484,8
495,7
497,8
498,7
501,5
502,6
505,8
515,4
516,6
527,8
529,5
531,7
533,6
537,4
541,7
546,7
548,7
549,8
550,7
553,7
559,7
561,5
564,3
574,6
578,6
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,2
619,8
620,7
624,6
625,7
628,7
630,7
635,7
636,5
637,8
641,7
644,8
648,8
654,7
658,5
664,8
666,7
667,7
670,8
672,6
674,8
676,7
684,8
685,5
693,5
694,7
700,3
702,6
703,7
705,6
711,8
718,2
722,7
726,6
727,3
732,8
735,8
740,4
748,7
750,7
751,8
756,7
762,6
766,7
770,7
771,6
779,7
782,4
784,7
793,6
798,4
800,6
801,7
805,7
807,5
813,7
819,7
820,7
822,8
823,7
833,8
834,5
842,3
845,7
856,7
860,5
864,6
869,7
872,7
877,4
878,7
893,5
894,8
896,6
899,6
900,6
911,3
914,7
917,1
919,7
923,3
925,6
926,5
934,7
938,7
940,6
955,6
956,7
971,6
973,8
978,7
979,8
981,6
988,7
990,7
992,3
996,7
997,6
999,5
1000,7
1006,5
1009,4
1018,6
1025,4
1038,7
1042,7
1045,6
1046,8
1047,6
1050,6
1052,7
1054,8
1057,7
1061,4
1069,6
1071,7
1073,6
1074,8
1075,5
1083,6
1084,3
1089,4
1099,6
1103,3
1110,8
1123,8
1130,7
1135,7
1137,7
1145,8
1147,4
1152,8
1153,3
1154,7
1158,8
1166,6
1170,7
1172,7
1178,6
1179,8
1181,3
1182,7
1183,8
1191,6
1192,3
1200,3
1205,7
1207,7
1208,3
1209,3
1217,4
1223,8
1225,8
1226,4
1228,3
1230,6
1232,8
1235,8
1237,7
1257,7
1266,3
1267,6
1274,7
1277,8
1278,6
1280,8
1282,7
1293,5
1294,5
1305,7
1306,7
1311,7
1318,6
1320,8
1323,7
1325,3
1328,6
1336,5
1340,7
1341,8
1344,7
1345,7
1348,4
1358,2
1361,7
1364,6
1373,6
1377,5
1378,7
1380,7
1382,7
1383,5
1386,7
1387,1
1390,4
1395,8
1398,6
1402,5
1403,8
1405,7
1407,7
1410,2
1412,3
1419,6
1426,7
1428,8
1436,6
1437,4
1438,4
1441,7
1444,3
1448,4
1454,6
1457,6
1459,7
1463,7
1467,3
1471,6
1475,6
1476,5
1480,7
1481,3
1482,6
1489,6
1491,7
1494,7
1496,6
1500,8
1501,8
1503,6
1504,4
1505,5
1515,5
1517,6
1520,5
1521,6
1523,8
1526,7
1529,6
1530,7
1543,5
1544,8
1547,6
1550,8
1552,6
1554,6
1563,7
1574,6
1575,4
1576,5
1579,5
1582,5
1584,7
1585,8
1589,6
1596,7
1598,3
1611,7
1613,3
1615,5
1618,5
1627,7
1630,3
1638,8
1639,7
1640,8
1642,7
1645,7
1648,6
1654,4
1661,8
1662,6
1663,7
1666,7
1668,3
1670,4
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,7
1700,7
1704,5
1712,8
1716,7
1717,6
1722,6
1724,5
1738,2
1739,3
1740,7
1761,7
1763,6
1765,7
1766,6
1767,7
1771,6
1772,6
1777,7
1784,3
1799,6
1806,7
1810,3
1812,7
1814,3
1818,7
1819,7
1822,5
1823,7
1824,3
1834,5
1835,7
1844,6
1848,6
1849,8
1850,5
1851,4
1856,4
1862,2
1863,6
1872,7
1874,5
1875,8
1877,6
1900,7
1902,7
1904,6
1905,4
1908,7
1914,8
1916,3
